情報入手元　http://www.city.ito.shizuoka.jp/kankou/html/event/hpg000001916.html　もしくは　http://itospa.com/event/,,,,,,,,
イベント名,開催年,開催日,開催時間,開催場所,問い合わせ先,問い合わせ先電話番号,備考,写真
伊東温泉『夢花火』Part9,平成29年,8月19日（水）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,約1000発,yumehanabi.JPG
伊東温泉『夢花火』Part10,平成29年,8月26日（水）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,約1000発,yumehanabi.JPG
第41回伊東温泉　箸まつり花火大会,平成29年,８月２２日（火）,20：40～21：00,伊東海岸,伊東観光協会,0557-37-6105,"　午後6時45分～午後8時25分　神輿パレード（キネマ通り・中央商店街から出発）
　午後7時10分～午後7時20分　供養塔点火セレモニー（伊東オレンジビーチ）
　午後7時40分～午後8時40分　よさこい踊り（海津美神社前）
　午後8時30分～午後8時40分　手筒花火＆伊東太鼓演奏（伊東オレンジビーチ）",hashimaturi02.jpg
秋期　お座敷文化大學,平成29年,９月１５日～１２月１０日の金、土、日,,東海館,伊東観光協会,0557-37-6105,"詳細・お申込みは""伊東温泉お座敷文化大学""http://www.ozashiki-univ.com/",
第19回伊豆高原クラフトの森フェスティバル,平成29年,９月２９日（金）～１０月１日（日）,10：00～16：00,さくらの里,伊東市観光課,0557-366-0111,http://www.city.ito.shizuoka.jp/kankou/html/event/kurahutonomori.pdf,
第20回伊東大田楽,平成29年,９月３０日（土）,16:00～18:30,松川藤の広場,伊東市観光課,0557-366-0111,雨天：伊東市観光会館,IMG_3638.JPG
みかん狩り,平成29年,９月３０日（土）～平成30年１月末日,,市内各みかん園,伊東市観光課,0557-366-0111,市内３地区１３農園,
第20回伊東温泉花笠踊り,平成29年,１０月１４日（土）,14：00～16：30,市道南口線,伊東市観光課,0557-366-0111,,
秋の森の露天市,平成29年,１０月２７日（金）～１０月２９日（日）,9：00～16：00,伊東市青少年キャンプ場,伊東市観光課,0557-366-0111,,
尻つみ祭り,平成29年, １１月１０日（金）,18：00～,音無神社,伊東市観光課,0557-366-0111,"式典・神事18:00～
催事18:30～ ",
グランイルミ,平成29年,１１月１１日（日）～平成３０年８月末日,16：30～21：30,伊豆ぐらんぱる公園　「グランイルミ」特設エリア,伊豆ぐらんぱる公園,0557-51-1122,詳細：http://itospa.com/granillumi/,
8thサンデーキネマーケット,平成29年,11月12日（日）,10：00～16：00,キネマ通り,,,”ショッピングストリート　スカイドーム　キネマ通り”http://kinemastreet.net/index.html,
とっておき冬花火大会＆冬のよさこいソーズラ祭り,平成29年,１２月２２日（金）,12：00～21:00,なぎさ公園,伊東市観光課,0557-366-0111,,
１・１０（いとう）の日,平成30年,１月１０日（水）,,市内全域,伊東市観光課,0557-366-0111,あらゆる施設で感謝をこめたサービスを展開！,
第52回伊東オレンジビーチマラソン,平成30年,１月１３日（土）（予定）,,伊東市内,伊東市観光課,0557-366-0111,伊東市内２・５・１０ｋｍのコース,
第24回伊東温泉めちゃくちゃ市,平成30年,１月２７日（土）～１月２８日（日）," 27日　9:00～16:00
28日　9:00～15:00",松川藤の広場他,伊東市観光課,0557-366-0111,,
甘夏みかん狩り,平成30年,２月１日（水）～６月下旬,,市内各みかん園,伊東観光協会,0557-37-6105,市内３地区１３農園 ,mikan.jpg
大室山　山焼き,平成30年,２月１１日（日）（予定）毎年２月第２日曜日,点火正午,大室山,伊東市観光課,0557-366-0111,毎年２月第２日曜日、荒天時には延期します,
秋期　お座敷文化大學,平成30年,２月２日～６月３日の金、土、日,,東海館,伊東観光協会,0557-37-6105,"詳細・お申込みは""伊東温泉お座敷文化大学""http://www.ozashiki-univ.com/",
第30回小室山公園　つばき観賞会,平成30年,２月１７日（土）～３月１１日（日）,9：00～16：00,小室山公園　つばき園,伊東市観光課,0557-366-0111,,egao.jpg
第６回　全日本まくら投げ大会in伊東温泉 ,平成30年,２月２４日（土）～２月２５日（日） ,,市民体育センター,伊東市観光課,0557-366-0111,平成２９年１１月１日（水）～平成２９年１１月３０日（木）必着　https://youtu.be/c8WF0VpwOfo,DSC09178.JPG
第15回東海館まつり ,平成30年,３月４日（日）（予定）,,東海館?,伊東市観光課,0557-366-0111,,
第41回 伊豆高原桜まつり ,平成30年,３月中旬～４月上旬（予定）,,伊豆高原駅前・伊豆高原桜並木・さくらの里 ,伊東市観光課,0557-366-0111,,
伊東松川灯りの小径,平成30年,３月１７日（土）～４月１日（日）（予定）,,松川遊歩道,伊東観光協会,0557-37-6105,通学橋～いでゆ橋　間４００m,5.jpg
